English,PartOfSpeech,Meaning,Example,Date
"aback","adv.","吃惊地","She was taken aback by the news.","2026-01-04T11:01:19.652Z"
"abandon","n.","放纵","They decided to abandon the project.","2026-01-04T11:01:19.652Z"
"abash","v.","使羞愧, 使困窘","She was abashed by the rude comments.","2026-01-04T11:01:19.652Z"
"abate","v.","减弱","The storm began to abate.","2026-01-04T11:01:19.652Z"
"abbreviate","v.","缩短","Please abbreviate the full name.","2026-01-04T11:01:19.652Z"
"aberrant","adj.","不正常的","His aberrant behavior worried the staff.","2026-01-04T11:01:19.652Z"
"abet","v.","怂恿, 支持, 教唆（犯罪）","He was accused of helping to commit the crime.","2026-01-04T11:01:19.652Z"
"abeyance","n.","中止, 暂停","The project was put into abeyance due to funding issues.","2026-01-04T11:01:19.652Z"
"abhor","v.","厌恶","I abhor cruelty.","2026-01-04T11:01:19.652Z"
"abiding","adj.","长期的","She has an abiding love for her family.","2026-01-04T11:01:19.652Z"
"abnegate","v.","否认","She decided to abnegate her previous claims.","2026-01-04T11:01:19.652Z"
"abolish","v.","废除, 废止","The government decided to abolish the outdated law.","2026-01-04T11:01:19.652Z"
"abominate","v.","憎恶, 憎恨","I abominate unfair treatment.","2026-01-04T11:01:19.652Z"
"abound","v.","富于, 充满","The garden abounds with flowers.","2026-01-04T11:01:19.652Z"
"abrade","v.","磨损","The rough surface will abrade the fabric over time.","2026-01-04T11:01:19.652Z"
"abreast","adj.","与时俱进的","She kept abreast of the latest news.","2026-01-04T11:01:19.652Z"
"abridge","v.","缩短","The editor decided to abridge the lengthy novel.","2026-01-04T11:01:19.652Z"
"absorbing","adj.","吸引人的","The movie was truly absorbing.","2026-01-04T11:01:19.652Z"
"abstemious","adj.","生活节制的","He leads an abstemious life, avoiding excess.","2026-01-04T11:01:19.652Z"
"abstraction","n.","抽象, 概要","The concept of time is an abstraction that we often take for granted.","2026-01-04T11:01:19.652Z"
"abstruse","adj.","难以理解的","The theory is quite abstruse for most people.","2026-01-04T11:01:19.652Z"
"abuse","v.","滥用","He tends to abuse his authority.","2026-01-04T11:01:19.652Z"
"abyss","n.","深渊（指危险的处境）","They feared falling into the abyss.","2026-01-04T11:01:19.652Z"
"accede","v.","同意","She decided to accede to their demands.","2026-01-04T11:01:19.652Z"
"accent","v.","发重音","She has a British accent.","2026-01-04T11:01:19.654Z"
"accentuate","v.","强调","The artwork was accentuated by the use of bright colors.","2026-01-04T11:01:19.654Z"
"acclaim","v.","欢呼, 喝彩","The crowd acclaimed the performer.","2026-01-04T11:01:19.654Z"
"accolade","n.","赞美","He received a prestigious accolade for his work.","2026-01-04T11:01:19.654Z"
"accommodate","v.","调解","The manager tried to accommodate the employee's request.","2026-01-04T11:01:19.654Z"
"accord","n.","和谐, 一致","They reached an accord after long negotiations.","2026-01-04T11:01:19.654Z"
"accountable","adj.","（对某事）负责任的","Managers are accountable for their team's performance.","2026-01-04T11:01:19.654Z"
"accrete","v.","逐渐增长","The land started to accrete around the new building.","2026-01-04T11:01:19.654Z"
"accretive","adj.","增积的","","2026-01-04T11:01:19.654Z"
"acerbic","adj.","（语言）辛辣尖刻的","His acerbic comments offended many people.","2026-01-04T11:01:19.654Z"
"acidic","adj.","酸的, 尖酸刻薄的","The lemon juice has an acidic taste.","2026-01-04T11:01:19.654Z"
"acknowledge","v.","感谢","She acknowledged the gift with a smile.","2026-01-04T11:01:19.654Z"
"acme","n.","最高点","The company's success reached its acme last year.","2026-01-04T11:01:19.654Z"
"acolyte","n.","助手","He was an acolyte to the famous priest.","2026-01-04T11:01:19.654Z"
"acquiesce","v.","默许, 默认","She chose to acquiesce to their demands.","2026-01-04T11:01:19.654Z"
"acquired","adj.","后天习得的","She has acquired excellent skills over the years.","2026-01-04T11:01:19.654Z"
"acquisitive","adj.","贪婪的","He has an acquisitive nature and always wants more.","2026-01-04T11:01:19.654Z"
"acquittal","n.","宣告无罪","The jury reached an acquittal after the trial.","2026-01-04T11:01:19.654Z"
"acrimony","n.","尖刻, 犀利","Their argument was filled with acrimony.","2026-01-04T11:01:19.654Z"
"acumen","n.","机智, 精明","She has great acumen in business decisions.","2026-01-04T11:01:19.654Z"
"acute","adj.","严重的，关键的","She was diagnosed with an acute illness.","2026-01-04T11:01:19.654Z"
"adamant","adj.","固执的","She was adamant about her decision.","2026-01-04T11:01:19.654Z"
"adduce","v.","引用…证明","The lawyer adduced new evidence during the trial.","2026-01-04T11:01:19.654Z"
"adept","adj.","精通的","She is an adept dancer.","2026-01-04T11:01:19.654Z"
"adhere","v.","依附于…,坚持","She will adhere to the rules.","2026-01-04T11:01:19.654Z"
"adjacent","adj.","相邻的","The two houses are adjacent to each other.","2026-01-04T11:01:19.654Z"
"adjudicate","v.","裁定, 宣判","The court will adjudicate the case tomorrow.","2026-01-04T11:01:19.654Z"
"adjunct","n.","附属物","The university offers adjunct faculty positions.","2026-01-04T11:01:19.654Z"
"adjuration","n.","恳求","He made an adjuration to the court.","2026-01-04T11:01:19.654Z"
"admonish","v.","警告, 批评","The teacher admonished the students for being late.","2026-01-04T11:01:19.654Z"
"adorn","v.","装饰","She decided to adorn her room with flowers.","2026-01-04T11:01:19.654Z"
"adroit","adj.","灵巧的","He is an adroit negotiator.","2026-01-04T11:01:19.654Z"
"adulation","n.","恭维, 吹捧","She received a lot of adulation after her performance.","2026-01-04T11:01:19.654Z"
"adulterate","v.","掺假","Manufacturers adulterate products to reduce costs.","2026-01-04T11:01:19.654Z"
"adversarial","adj.","敌对的","The companies have an adversarial relationship.","2026-01-04T11:01:19.654Z"
"adverse","adj.","不利的, 有害的","The weather was adverse to our plans.","2026-01-04T11:01:19.654Z"
